Date,Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts,Index Future Net,Index Call Net,Index Put Net,Index Net Long,Stock Future Net,Stock Call Net,Stock Put Net,Stock Net Long
01-01-2020,Client,115250,125282,733122,202664,730997,564667,697604,736946,165422,71679,131212,102785,2381137,1996493,-10032,33393,-172279,195640,530458,34210,-31106,595774
01-01-2020,DII,42823,33078,16306,1097093,4317,65841,0,0,0,0,534,0,129287,1130705,9745,4317,65841,-51779,-1080787,-534,0,-1081321
01-01-2020,FII,65820,50978,959994,463652,162126,226473,59442,79978,8550,11303,8636,8336,1434266,671022,14842,102684,146495,-28969,496342,-86,2967,493289
01-01-2020,Pro,17200,31755,134303,80316,146371,179624,286765,219681,41268,58046,74858,29907,576812,723282,-14555,-140394,-40057,-114892,53987,-33590,28139,-7742
01-01-2020,TOTAL,241093,241093,1843725,1843725,1043811,1036605,1043811,1036605,215240,141028,215240,141028,4521502,4521502,0,0,0,0,0,0,0,0
01-01-2021,Client,112492,128170,670883,165661,656331,766582,637370,855860,282490,88900,176789,142214,2577678,2106064,-15678,18961,-89278,92561,505222,105701,-53314,664237
01-01-2021,DII,1960,46862,16334,755539,367,13561,0,0,267,0,0,0,32489,802401,-44902,367,13561,-58096,-739205,267,0,-738938
01-01-2021,FII,99869,32936,660873,511176,150536,197426,114868,128670,11339,15574,24371,16784,1135617,828805,66933,35668,68756,33845,149697,-13032,-1210,137875
01-01-2021,Pro,20767,27120,151469,67183,218411,236415,273407,229454,59300,98379,152236,43855,784741,793255,-6353,-54996,6961,-68310,84286,-92936,54524,-63174
01-01-2021,TOTAL,235088,235088,1499559,1499559,1025645,1213984,1025645,1213984,353396,202853,353396,202853,4530525,4530525,0,0,0,0,0,0,0,0
01-02-2021,Client,118750,114986,705152,148585,652377,1076475,661655,1053837,340559,120311,213944,166496,3013624,2359503,3764,-9278,22638,-28152,556567,126615,-46185,729367
01-02-2021,DII,6801,36877,16409,809060,267,12483,0,0,0,0,631,0,35960,846568,-30076,267,12483,-42292,-792651,-631,0,-793282
01-02-2021,FII,85068,28901,671069,506054,228861,308362,201004,213283,21983,20593,36853,23322,1335936,1009417,56167,27857,95079,-11055,165015,-14870,-2729,152874
01-02-2021,Pro,13341,43196,144341,73272,266958,310932,285804,441132,68316,110074,179430,61160,913962,1083994,-29855,-18846,-130200,81499,71069,-111114,48914,-88959
01-02-2021,TOTAL,223960,223960,1536971,1536971,1148463,1708252,1148463,1708252,430858,250978,430858,250978,5299482,5299482,0,0,0,0,0,0,0,0
01-03-2021,Client,126331,133088,750893,149883,1022372,790647,964795,919882,413946,117858,248311,196448,3222047,2612407,-6757,57577,-129235,180055,601010,165635,-78590,845235
01-03-2021,DII,584,34291,23298,827409,267,12740,0,0,0,0,7394,0,36889,869094,-33707,267,12740,-46180,-804111,-7394,0,-811505
01-03-2021,FII,82434,40107,645420,540143,198308,291494,147444,157139,24749,24771,33407,24273,1267176,942513,42327,50864,134355,-41164,105277,-8658,498,96121
01-03-2021,Pro,27321,29184,176263,78439,310605,292811,419313,310671,70472,136958,220055,58866,1014430,1116528,-1863,-108708,-17860,-92711,97824,-149583,78092,-129851
01-03-2021,TOTAL,236670,236670,1595874,1595874,1531552,1387692,1531552,1387692,509167,279587,509167,279587,5540542,5540542,0,0,0,0,0,0,0,0
01-04-2020,Client,83227,72942,317301,125763,271300,265681,288379,366625,81403,46727,71828,44137,1065639,969674,10285,-17079,-100944,94150,191538,9575,2590,198523
01-04-2020,DII,54486,3854,48392,828714,4317,62015,0,0,0,0,694,0,169210,833262,50632,4317,62015,-7066,-780322,-694,0,-781016
01-04-2020,FII,37805,100819,965511,397747,116202,150831,85129,84827,3501,4657,2623,4257,1278507,675402,-63014,31073,66004,-97945,567764,878,400,568242
01-04-2020,Pro,18378,16281,72110,51090,68574,69959,86885,97034,30869,27684,40628,30674,287574,322592,2097,-18311,-27075,10861,21020,-9759,-2990,14251
01-04-2020,TOTAL,193896,193896,1403314,1403314,460393,548486,460393,548486,115773,79068,115773,79068,2800930,2800930,0,0,0,0,0,0,0,0
01-04-2021,Client,162551,156787,849644,204325,473188,547437,517438,682978,343238,141126,227513,192948,2517184,1981989,5764,-44250,-135541,97055,645319,115725,-51822,812866
01-04-2021,DII,1358,26330,20195,868475,267,7362,0,0,0,11,13418,0,29193,908223,-24972,267,7362,-32067,-848280,-13418,11,-861709
01-04-2021,FII,72655,44544,597049,475495,157004,251597,102163,119736,25602,28102,34749,28095,1132009,804782,28111,54841,131861,-48909,121554,-9147,7,112400
01-04-2021,Pro,16950,25853,155274,73867,177626,173623,188484,177305,83704,116117,176864,64313,723294,706686,-8903,-10858,-3682,-16079,81407,-93160,51804,-63557
01-04-2021,TOTAL,253514,253514,1622162,1622162,808085,980019,808085,980019,452544,285356,452544,285356,4401680,4401680,0,0,0,0,0,0,0,0
01-06-2020,Client,98037,119547,419128,175623,463939,679043,468290,717778,148741,95500,124419,90452,1904388,1696109,-21510,-4351,-38735,12874,243505,24322,5048,262779
01-06-2020,DII,38182,10206,58062,929457,4584,67558,0,0,13,0,226,0,168399,939889,27976,4584,67558,-34998,-871395,-213,0,-871608
01-06-2020,FII,67563,48259,1056075,493466,165203,193456,117103,120861,8395,11456,13412,15087,1502148,808188,19304,48100,72595,-5191,562609,-5017,-3631,561223
01-06-2020,Pro,16627,42397,129668,64387,164289,162691,212622,264109,72166,61562,91258,62979,607003,737752,-25770,-48333,-101418,27315,65281,-19092,-1417,47606
01-06-2020,TOTAL,220409,220409,1662933,1662933,798015,1102748,798015,1102748,229315,168518,229315,168518,4181938,4181938,0,0,0,0,0,0,0,0
01-06-2021,Client,111713,148586,1040919,156187,1164077,1148750,1190350,1293172,594087,178810,354281,269015,4238356,3411591,-36873,-26273,-144422,81276,884732,239806,-90205,1214743
